School,Major,Planned_Enrollment_2020,Grade_Line_2020,Rank_2020,Planned_Enrollment_2021,Grade_Line_2021,Rank_2021,Planned_Enrollment_2022,Grade_Line_2022,Rank_2022,Level,First_Class,Property,Average_Rank
北京物资学院,物流管理,2,572,52401,1,554,56147,1,551,57919,none,none,公办,55489
天津科技大学,物流管理,none,none,none,4,556,53534,4,551,57599,省重点,none,公办,55567
湘潭大学,应急管理,none,none,none,none,none,none,3,553,55632,全国重点,一流学科,公办,55632
新疆大学,工商管理类,6,562,64402,8,556,52763,7,557,50301,211,一流大学,公办,55822
新疆大学,物流管理,2,565,61240,2,555,54883,2,556,51723,211,一流大学,公办,55949
西安建筑科技大学,会计学,none,none,none,none,none,none,3,557,50325,省重点,none,公办,50325
哈尔滨商业大学,会计学(本硕班),none,none,none,4,558,50608,none,none,none,省重点,none,公办,50608
哈尔滨商业大学,会计学,4,574,50749,none,none,none,none,none,none,省重点,none,公办,50749
北京联合大学,会计学,4,574,50569,8,558,51215,3,557,50493,none,none,公办,50759
华东交通大学,会计学(特许公认会计师),2,573,51417,none,none,none,none,none,none,省重点,none,公办,51417
上海商学院,会计学,3,575,49726,3,558,51121,4,554,54013,none,none,公办,51620
华东交通大学,会计学(国际会计),2,573,51782,none,none,none,none,none,none,省重点,none,公办,51782
湖南科技大学,会计学,2,574,50368,2,558,50478,2,553,55148,省重点,none,公办,51998
河南大学,会计学(中外合作办学)(与澳大利亚维多利亚大学合作办学),7,568,57309,7,559,49513,6,558,49494,省重点,一流学科,公办,52105
南京工程学院,会计学,2,573,51187,2,557,52440,2,554,53841,none,none,公办,52489
中国石油大学(北京)克拉玛依校区,会计学,4,563,62775,7,559,49308,7,560,47008,211,一流学科,公办,53030
石河子大学,会计学,none,none,none,none,none,none,4,555,53436,211,一流学科,公办,53436
江西师范大学,会计学,5,573,51373,none,none,none,4,552,56784,省重点,none,公办,54079
吉林财经大学,会计学,6,571,53918,6,555,54699,5,554,54799,省重点,none,公办,54472
哈尔滨商业大学,工商管理类(会计学院),1,576,47979,8,555,54687,9,547,63678,省重点,none,公办,55448
北京物资学院,金融学(期货与证券实验班),1,576,48263,2,560,48166,2,555,53728,none,none,公办,50052
北京物资学院,金融学,none,none,none,none,none,none,1,557,50377,none,none,公办,50377
浙江外国语学院,金融工程,1,577,46849,2,560,48913,2,552,56677,none,none,公办,50813
昆明理工大学,金融学,3,576,48679,3,558,50832,3,555,53633,省重点,none,公办,51048
北京联合大学,金融学,3,577,47048,7,558,51202,7,553,55803,none,none,公办,51351
山东科技大学,金融学,43,575,49723,28,558,50581,37,554,54479,省重点,none,公办,51594
山东财经大学,金融学类(济南走读),none,none,none,30,559,49982,25,555,53275,省重点,none,公办,51629
华侨大学,经济学类(中美121双学位班、可接轨CFA金融分析师),6,580,44081,6,557,52642,8,551,58575,"全国重点,省重点",none,公办,51766
吉林财经大学,金融学,2,575,49146,2,558,50761,4,553,55423,省重点,none,公办,51777
三峡大学,金融学,2,574,50600,2,558,51373,4,554,54108,省重点,none,公办,52027
山西财经大学,金融学,6,574,50160,6,558,51454,6,553,55357,省重点,none,公办,52324
中南林业科技大学,金融学(CFA卓越班),2,570,55288,2,559,49437,none,none,none,省重点,none,公办,52363
上海立信会计金融学院,金融工程(中外合作办学)(中美合作),5,575,48883,7,558,50771,7,551,57769,none,none,公办,52474
大连大学,金融学,3,573,51706,3,557,51666,2,553,55476,省重点,none,公办,52949
重庆理工大学,金融学类,3,573,51502,3,557,52167,3,553,56158,省重点,none,公办,53276
江西师范大学,金融学,3,574,50456,12,557,52583,2,552,57280,省重点,none,公办,53440
四川师范大学,金融数学,none,none,none,2,556,53116,2,553,55091,省重点,none,公办,54104
四川师范大学,金融工程,2,571,53631,2,557,52156,2,552,56641,省重点,none,公办,54143
安徽财经大学,金融学,7,569,55435,3,557,52672,3,554,54587,省重点,none,公办,54231
天津财经大学,金融学(中外合作办学)(能源金融),13,575,49344,13,555,54503,13,550,59939,省重点,none,公办,54595
重庆工商大学,金融学(中外合作办学),1,574,49874,1,557,52410,2,548,61919,省重点,none,公办,54734
广东金融学院,金融学,2,574,50079,2,555,53976,1,549,60186,none,none,公办,54747
北京联合大学,金融学(实验班),2,577,47461,2,557,51574,2,545,65610,none,none,公办,54882
长江大学,金融学(含荆楚卓越人才协同育人计划),none,none,none,2,555,54291,2,552,56621,省重点,none,公办,55456
黑龙江大学,金融学,2,571,53702,2,555,54840,2,551,58343,none,none,公办,55628
青岛大学,经济学,164,578,46342,142,559,50126,57,554,53917,省重点,none,公办,50128
南通大学,国际经济与贸易,none,none,none,2,560,48872,2,556,52213,省重点,none,公办,50543
安徽师范大学,经济学,5,573,51576,5,557,52473,2,559,48094,省重点,none,公办,50714
华侨大学,经济学类(中美121双学位班、可接轨CFA金融分析师),6,580,44081,6,557,52642,8,551,58575,"全国重点,省重点",none,公办,51766
上海工程技术大学,旅游管理(邮轮经济),2,575,49433,2,559,49969,2,552,56341,none,none,公办,51914
集美大学,数字经济,none,none,none,none,none,none,3,556,51919,省重点,none,公办,51919
浙江传媒学院,经济学,3,572,52570,3,558,51525,none,none,none,none,none,公办,52048
湖南科技大学,经济学,2,573,51087,2,558,51291,2,554,54245,省重点,none,公办,52208
常州大学,国际经济与贸易,3,577,46883,none,none,none,1,551,57771,省重点,none,公办,52327
中国石油大学(北京)克拉玛依校区,经济学类,10,560,66800,7,564,44848,13,561,45734,211,一流学科,公办,52461
海南大学,会展经济与管理(中外合作办学),8,572,52404,9,559,50323,9,553,55003,211,一流学科,公办,52577
山东师范大学,国际经济与贸易(地方专项计划),none,none,none,3,557,52479,3,555,52942,省重点,none,公办,52711
江西师范大学,国际经济与贸易,3,572,52392,4,555,54065,none,none,none,省重点,none,公办,53229
山东财经大学,经济学类(地方专项计划),10,571,53231,10,557,52251,10,554,54414,省重点,none,公办,53299
昆明理工大学,国际经济与贸易,3,573,51534,3,556,53222,3,553,55332,省重点,none,公办,53363
浙江传媒学院,会展经济与管理,4,572,53097,4,555,54269,2,555,53318,none,none,公办,53561
河北师范大学,经济与贸易类,5,573,51850,6,554,56050,none,none,none,省重点,none,公办,53950
上海商学院,国际经济与贸易,3,572,52701,3,556,53538,3,553,56172,none,none,公办,54137
青海大学,国际经济与贸易,8,565,60252,8,557,52000,6,557,50652,211,一流学科,公办,54301
北京联合大学,国际经济与贸易,3,570,54494,none,none,none,none,none,none,none,none,公办,54494
山东财经大学,经济学类(济南走读),none,none,none,20,555,54146,10,553,55122,省重点,none,公办,54634
湖北工业大学,能源经济,2,572,52955,5,555,54513,2,551,57626,省重点,none,公办,55031
华东交通大学,国际经济与贸易,3,573,51561,3,555,54784,2,550,59705,省重点,none,公办,55350
湖南科技大学,国际经济与贸易,2,568,57280,2,556,53665,none,none,none,省重点,none,公办,55473
江西师范大学,经济学,3,572,52378,none,none,none,4,551,58724,省重点,none,公办,55551
河南财经政法大学,经济学类,2,570,55191,2,555,54284,2,551,57728,none,none,公办,55734
西安财经大学,经济学,4,570,55061,4,554,55181,4,552,57007,none,none,公办,55750
山东财经大学,经济统计学,110,568,56507,77,554,55493,65,553,55266,省重点,none,公办,55755
南通大学,国际经济与贸易,none,none,none,2,560,48872,2,556,52213,省重点,none,公办,50543
常州大学,国际经济与贸易,3,577,46883,none,none,none,1,551,57771,省重点,none,公办,52327
山东师范大学,国际经济与贸易(地方专项计划),none,none,none,3,557,52479,3,555,52942,省重点,none,公办,52711
江西师范大学,国际经济与贸易,3,572,52392,4,555,54065,none,none,none,省重点,none,公办,53229
昆明理工大学,国际经济与贸易,3,573,51534,3,556,53222,3,553,55332,省重点,none,公办,53363
河北师范大学,经济与贸易类,5,573,51850,6,554,56050,none,none,none,省重点,none,公办,53950
上海商学院,国际经济与贸易,3,572,52701,3,556,53538,3,553,56172,none,none,公办,54137
青海大学,国际经济与贸易,8,565,60252,8,557,52000,6,557,50652,211,一流学科,公办,54301
北京联合大学,国际经济与贸易,3,570,54494,none,none,none,none,none,none,none,none,公办,54494
华东交通大学,国际经济与贸易,3,573,51561,3,555,54784,2,550,59705,省重点,none,公办,55350
湖南科技大学,国际经济与贸易,2,568,57280,2,556,53665,none,none,none,省重点,none,公办,55473
青岛大学,信息管理与信息系统(地方专项计划),5,574,49885,5,559,50157,5,557,50462,省重点,none,公办,50168
天津工业大学,信息管理与信息系统(中外合作办学),10,574,49960,10,556,52917,12,556,51544,省重点,一流学科,公办,51474
上海海洋大学,信息管理与信息系统(中外合作办学),15,572,52859,15,556,53221,15,556,51879,省重点,一流学科,公办,52653
东北电力大学,信息管理与信息系统,4,574,49999,3,556,53050,3,553,55245,省重点,none,公办,52765
青海大学,信息管理与信息系统,4,568,57386,9,557,51831,9,558,49907,211,一流学科,公办,53041
昆明理工大学,信息管理与信息系统,3,572,52694,3,557,51561,3,553,55912,省重点,none,公办,53389
哈尔滨理工大学,信息管理与信息系统,2,572,52017,3,555,54025,2,549,60231,省重点,none,公办,55424
江西财经大学,市场营销(国际营销),2,592,33265,4,559,49534,4,542,71308,省重点,none,公办,51369
江苏大学,市场营销,none,none,none,none,none,none,3,554,54437,"全国重点,省重点",none,公办,54437
江西财经大学,市场营销(数字营销),none,none,none,none,none,none,2,554,54848,省重点,none,公办,54848
北京联合大学,市场营销,2,570,55303,none,none,none,none,none,none,none,none,公办,55303
成都信息工程大学,市场营销,1,569,55953,none,none,none,none,none,none,省重点,none,公办,55953
新疆大学,地理信息科学,4,565,60558,8,561,47871,5,562,45270,211,一流大学,公办,51233
海南大学,人文地理与城乡规划(中外合作办学),8,570,54647,6,559,49465,7,557,51131,211,一流学科,公办,51748
西安科技大学,自然地理与资源环境,4,574,50437,2,558,50434,4,553,55744,省重点,none,公办,52205
济南大学,地理科学,none,none,none,none,none,none,40,555,52931,省重点,none,公办,52931
杭州师范大学,地理信息科学(中外合作办学),none,none,none,2,556,53283,none,none,none,省重点,none,公办,53283
新疆大学,自然地理与资源环境,3,563,63100,2,557,52292,2,562,45492,211,一流大学,公办,53628
长沙理工大学,地理信息科学,none,none,none,2,557,52197,2,553,55243,省重点,none,公办,53720
山西师范大学,地理科学(师范类),none,none,none,2,554,56001,2,555,53534,省重点,none,公办,54768
西安科技大学,地理信息科学,none,none,none,none,none,none,3,554,54917,省重点,none,公办,54917
安徽师范大学,地理信息科学,none,none,none,4,554,55671,2,554,54524,省重点,none,公办,55098
西安科技大学,地质工程,2,575,49039,2,557,52011,2,554,54523,省重点,none,公办,51858
西安石油大学,地质学,1,567,58122,1,556,53383,1,556,52397,none,none,公办,54634
黑龙江大学,化学,4,576,48111,4,559,49941,2,555,52929,none,none,公办,50327
青岛大学,应用化学,83,576,48243,80,558,51153,78,553,55413,省重点,none,公办,51603
湖南科技大学,化学,2,572,52386,none,none,none,none,none,none,省重点,none,公办,52386
沈阳理工大学,应用化学,1,574,50370,1,557,52275,1,554,54661,省重点,none,公办,52435
湖南科技大学,化学(师范类),none,none,none,2,556,53566,2,555,53257,省重点,none,公办,53412
常州大学,应用化学,2,572,52244,4,554,55321,none,none,none,省重点,none,公办,53783
华北理工大学,化学,2,575,49271,4,555,54103,4,549,61136,省重点,none,公办,54837
南通大学,应用化学,3,570,55043,none,none,none,none,none,none,省重点,none,公办,55043
常州大学,材料化学,none,none,none,2,556,53305,2,551,58101,省重点,none,公办,55703
湖北师范大学,化学类,2,574,50712,6,555,54483,3,548,62641,none,none,公办,55945
江苏科技大学,工程力学,2,576,47720,5,556,52973,5,551,58306,省重点,none,公办,53000
湖南农业大学,农学,2,569,56002,2,559,50283,3,557,50438,省重点,none,公办,52241
浙江农林大学,智慧农业,none,none,none,none,none,none,2,554,54116,省重点,none,公办,54116
江苏大学,农业智能装备工程,none,none,none,8,553,57068,4,557,51183,"全国重点,省重点",none,公办,54126
四川师范大学,生物科学类,5,572,52218,none,none,none,none,none,none,省重点,none,公办,52218
哈尔滨师范大学,生物科学(师范类),3,571,53674,3,557,51972,3,556,52559,省重点,none,公办,52735
浙江农林大学,生物技术,2,570,54832,2,557,51720,2,555,53584,省重点,none,公办,53379
湖北中医药大学,生物技术,1,573,51461,1,558,50945,2,551,58246,省重点,none,公办,53551
湖北工业大学,生物技术,none,none,none,none,none,none,3,554,54629,省重点,none,公办,54629
东北农业大学,生物科学(中美121双学位项目),3,569,55553,none,none,none,none,none,none,211,一流学科,公办,55553
湖南中医药大学,食品科学与工程,1,578,45886,1,560,49223,3,549,60930,省重点,none,公办,52013
江苏科技大学,食品科学与工程类,4,576,48465,4,558,51455,7,551,58121,省重点,none,公办,52680
浙江海洋大学,食品科学与工程,2,573,51426,none,none,none,2,554,54025,省市共建,none,公办,52726
天津科技大学,食品营养与健康,none,none,none,5,556,53837,4,552,56692,省重点,none,公办,55265
河南师范大学,数学与应用数学(师范类),none,none,none,none,none,none,5,557,50171,省重点,none,公办,50171
大连交通大学,数学与应用数学,none,none,none,none,none,none,2,557,50503,省重点,none,公办,50503
西北师范大学,数学与应用数学(师范类),none,none,none,1,559,49378,3,556,51682,省重点,none,公办,50530
东北电力大学,数学与应用数学,4,576,47847,4,557,51663,4,555,53562,省重点,none,公办,51024
石河子大学,数学与应用数学(师范类),none,none,none,4,555,54179,5,558,48920,211,一流学科,公办,51550
哈尔滨师范大学,数学与应用数学(师范类),3,570,54824,3,559,49956,3,557,50949,省重点,none,公办,51910
宁波诺丁汉大学,数学与应用数学(中外合作办学),4,578,46020,6,555,54145,6,553,56000,none,none,中外合作办学,52055
陕西科技大学,数学类,3,571,53477,3,555,53999,3,555,53017,全国重点,none,公办,53498
四川师范大学,金融数学,none,none,none,2,556,53116,2,553,55091,省重点,none,公办,54104
湖北师范大学,数学与应用数学(师范类),4,551,78915,2,565,43069,3,561,45899,none,none,公办,55961
浙江农林大学,应用统计学,1,573,51818,1,559,49819,1,559,48596,省重点,none,公办,50078
山东师范大学,统计学(地方专项计划),6,569,56170,6,561,47959,6,561,46453,省重点,none,公办,50194
哈尔滨理工大学,应用统计学,2,573,51310,2,560,48410,2,557,51257,省重点,none,公办,50326
山东财经大学,统计学,70,574,50114,70,556,52871,70,552,56384,省重点,none,公办,53123
北京工商大学,应用统计学(中外合作办学)(风险与精算),5,571,53435,none,none,none,none,none,none,省重点,none,公办,53435
四川师范大学,统计学,2,571,53433,2,556,52899,2,554,54888,省重点,none,公办,53740
青岛大学,应用统计学,none,none,none,none,none,none,64,553,55330,省重点,none,公办,55330
青岛大学,应用统计学(地方专项计划),none,none,none,none,none,none,5,553,55496,省重点,none,公办,55496
山东财经大学,经济统计学,110,568,56507,77,554,55493,65,553,55266,省重点,none,公办,55755
四川师范大学,物理学,4,575,48874,3,560,48650,4,555,52876,省重点,none,公办,50133
新疆大学,物理学,5,566,59321,6,563,45954,6,562,45201,211,一流大学,公办,50159
青岛大学,应用物理学,71,577,47493,64,559,50330,66,554,54154,省重点,none,公办,50659
中国民航大学,材料物理(无损检测与表面工程),6,576,48087,3,558,50980,5,555,53345,省重点,none,公办,50804
昆明医科大学,康复物理治疗,1,582,42032,1,561,47915,1,546,65405,省重点,none,公办,51784
江西师范大学,物理学(师范类),7,576,48654,9,557,51794,9,553,55461,省重点,none,公办,51970
西北师范大学,物理学(师范类),none,none,none,3,557,51768,2,554,54678,省重点,none,公办,53223
长春理工大学,应用物理学,3,573,51350,3,556,53643,6,548,62404,省重点,none,公办,55799
西安建筑科技大学,材料成型及控制工程,2,579,45432,3,558,50843,3,553,55378,省重点,none,公办,50551
中国民航大学,材料物理(无损检测与表面工程),6,576,48087,3,558,50980,5,555,53345,省重点,none,公办,50804
重庆交通大学,材料类,3,579,44789,4,557,51967,3,553,55728,省重点,none,公办,50828
江苏海洋大学,材料类,8,573,51079,none,none,none,none,none,none,none,none,公办,51079
西安科技大学,高分子材料与工程,none,none,none,2,559,49733,2,555,53673,省重点,none,公办,51703
西安建筑科技大学,材料类,5,578,46026,5,558,51272,8,550,59527,省重点,none,公办,52275
西安科技大学,材料科学与工程,none,none,none,2,558,50564,2,554,54542,省重点,none,公办,52553
哈尔滨理工大学,高分子材料与工程,3,575,49315,4,557,52377,4,552,57424,省重点,none,公办,53039
昆明理工大学,材料科学与工程,3,576,48206,4,556,53104,3,550,59929,省重点,none,公办,53746
西安科技大学,新能源材料与器件,none,none,none,2,556,53022,2,554,54547,省重点,none,公办,53785
青海大学,新能源材料与器件,4,568,57200,8,554,55244,8,555,52865,211,一流学科,公办,55103
常州大学,材料化学,none,none,none,2,556,53305,2,551,58101,省重点,none,公办,55703
西安科技大学,无机非金属材料工程,none,none,none,2,556,53388,2,551,58350,省重点,none,公办,55869
西安建筑科技大学,金属材料工程,3,575,48958,3,554,55829,3,547,62969,省重点,none,公办,55919
西安建筑科技大学,城市管理,2,580,44447,2,559,49347,2,551,58549,省重点,none,公办,50781
西安科技大学,城市地下空间工程,2,576,48083,2,556,53224,2,549,60327,省重点,none,公办,53878
浙江农林大学,城市管理,none,none,none,1,555,53884,1,553,55231,省重点,none,公办,54558
桂林电子科技大学,电气工程及其自动化,3,573,51454,3,557,51758,2,559,48116,省重点,none,公办,50443
南昌航空大学,自动化,2,575,49326,2,558,50785,2,556,51393,省重点,none,公办,50501
华东交通大学,自动化类,4,575,48740,10,558,50708,10,556,52459,省重点,none,公办,50636
兰州交通大学,电气工程及其自动化(卓越计划班),none,none,none,none,none,none,2,556,51423,省重点,none,公办,51423
天津职业技术师范大学,电气工程及其自动化(师范类),none,none,none,1,562,46757,1,552,56956,none,none,公办,51857
北京联合大学,电气工程及其自动化,2,571,53160,1,557,51878,1,557,50730,none,none,公办,51923
黑龙江大学,电气工程及其自动化,2,570,54783,2,557,51895,2,556,51601,none,none,公办,52760
西安工业大学,电气工程及其自动化,3,567,57800,2,556,53329,2,559,48025,none,none,公办,53051
沈阳建筑大学,建筑电气与智能化,1,572,52963,1,556,52974,1,554,54072,省重点,none,公办,53336
宁波诺丁汉大学,电气类(中外合作办学)(2加2),4,582,42282,7,551,59563,7,551,58196,none,none,中外合作办学,53347
沈阳工业大学,自动化,5,572,52622,4,557,52492,5,553,55346,省重点,none,公办,53487
重庆理工大学,自动化,4,569,56065,2,556,52837,2,556,51577,省重点,none,公办,53493
北京联合大学,自动化,none,none,none,1,556,53490,2,553,55278,none,none,公办,54384
山东科技大学,电气工程及其自动化(地方专项计划),21,567,57864,20,558,51070,none,none,none,省重点,none,公办,54467
华北理工大学,自动化,5,571,53730,4,555,54234,3,552,56423,省重点,none,公办,54796
黑龙江大学,自动化,3,569,55493,2,554,55484,2,555,53661,none,none,公办,54879
兰州交通大学,电气工程及其自动化,4,570,54957,3,554,55237,5,553,55443,省重点,none,公办,55212
西安工业大学,自动化,2,567,58196,3,553,57101,3,556,52022,none,none,公办,55773
北京联合大学,电子信息工程,2,573,51421,1,559,49856,1,558,49414,none,none,公办,50230
中国民航大学,电子信息工程(航空电子),26,574,49998,22,558,51226,none,none,none,省重点,none,公办,50612
上海工程技术大学,电子封装技术,none,none,none,4,559,49304,4,556,52165,none,none,公办,50735
重庆工商大学,电子信息工程,3,574,49939,3,558,51161,3,556,51955,省重点,none,公办,51018
桂林电子科技大学,电子信息类,14,573,51895,14,557,52364,7,558,49264,省重点,none,公办,51174
桂林电子科技大学,电子科学与技术,none,none,none,none,none,none,2,556,51456,省重点,none,公办,51456
山东师范大学,电子信息类(地方专项计划),9,571,53731,12,558,51500,12,558,49659,省重点,none,公办,51630
石河子大学,电子信息工程,6,565,60315,4,559,50278,4,562,44522,211,一流学科,公办,51705
长江大学,电子信息类(教育部卓越工程师、省支柱产业人才培养计划),none,none,none,none,none,none,4,556,51743,省重点,none,公办,51743
重庆邮电大学,电子信息工程(中外合作办学),12,576,47983,12,556,52928,12,553,55721,省重点,none,公办,52211
长江大学,电子信息类(国家一流专业、教育部卓越工程师培养计划),none,none,none,4,557,52229,none,none,none,省重点,none,公办,52229
长春理工大学,电子信息工程,4,571,53137,4,556,53446,2,557,50254,省重点,none,公办,52279
常州大学,机械电子工程,none,none,none,2,557,52536,none,none,none,省重点,none,公办,52536
西安石油大学,电子信息工程,2,569,55751,2,558,50643,2,556,51640,none,none,公办,52678
上海海事大学,机械电子工程(中外合作办学),6,574,49987,6,557,51824,6,552,56348,省重点,none,公办,52720
湖南科技大学,电子信息科学与技术,none,none,none,none,none,none,1,555,52880,省重点,none,公办,52880
石家庄铁道大学,电子信息类,none,none,none,3,556,53061,3,555,53100,全国重点,none,公办,53081
西安石油大学,机械电子工程,2,557,70852,2,566,42104,2,560,47254,none,none,公办,53403
长春理工大学,微电子科学与工程,5,572,52721,4,556,53641,4,554,53848,省重点,none,公办,53403
南昌航空大学,机械电子工程,2,572,52396,2,557,52581,4,553,55257,省重点,none,公办,53411
中北大学,电子信息类,20,571,53700,25,555,54903,28,552,56850,省重点,none,公办,55151
河南大学,电子信息科学与技术(中外合作办学)(与美国迈阿密大学合作办学),5,567,57855,5,557,52496,none,none,none,省重点,一流学科,公办,55176
