major,school,plan,rank
9C临床医学(5+3一体化培养，儿科方向),H335浙江大学医学院,3,1008
S4经济管理试验班,A284南京大学,9,1013
G8临床医学(八年制，弘毅学堂),A486武汉大学,2,1015
68医学试验班(拔尖学生培养基地),H246复旦大学医学院,14,1035
07工科试验班(英才本硕博连读),A213哈尔滨工业大学,12,1043
Z6社会科学试验班,A335浙江大学,17,1054
32电子信息类(启明光电信息本硕博实验班),A487华中科技大学,5,1055
S2社会科学试验班,A284南京大学,5,1058
1C自动化(钱学森班本硕博),A698西安交通大学,3,1076
SP理科试验班类(地球科学与资源环境类),A284南京大学,4,1077
01临床医学(阶平班),A025首都医科大学,2,1088
QX金融学类(弘毅学堂数理经济与数理金融试验班),A486武汉大学,2,1089
4A光电信息科学与工程(未来技术学院),A487华中科技大学,2,1091
3P工科试验班类(信息类),A006北京航空航天大学,65,1101
Z4新闻传播学类,A335浙江大学,3,1118
N4工科试验班(弘毅学堂),A486武汉大学,2,1124
1L人工智能(新工科卓越计划),A698西安交通大学,2,1162
QZ临床医学(八年制),A486武汉大学,2,1172
3G理科试验班类(国际卓越工程师试验班),A006北京航空航天大学,7,1193
3J工科试验班类(医工交叉试验班),A006北京航空航天大学,4,1194
02中西医临床医学(华佗班),A026北京中医药大学,1,1200
08计算机科学与技术(天河拔尖班),P002国防科技大学,4,1216
3R理科试验班类,A006北京航空航天大学,10,1255
N3文科试验班类(弘毅学堂PLE试验班),A486武汉大学,2,1257
02临床医学(5+3一体化),A025首都医科大学,5,1263
74口腔医学(五年),A610四川大学,3,1278
0P计算机类(计算机学院),A487华中科技大学,21,1284
02工科试验班(徐特立英才班),A007北京理工大学,20,1285
Z2人文科学试验班,A335浙江大学,5,1289
04口腔医学(5+3一体化),A025首都医科大学,1,1320
3L工科试验班类(航空H航天类),A006北京航空航天大学,56,1371
0Y金融学,A272上海财经大学,4,1378
28法学(北京外国语大学联合培养涉外法治人才),A053中国政法大学,4,1414
04口腔医学,P030空军军医大学,1,1416
R3计算机类(计算机学院),A486武汉大学,14,1430
0N电子信息类(光电学院),A487华中科技大学,10,1463
69临床医学(5+3一体化),A247同济大学,5,1471
16工科试验班(吴健雄班),A286东南大学,5,1483
3W金融学类,A055南开大学,8,1492
04金融学类,A034中央财经大学,7,1493
1F数学与应用数学(国家拔尖计划),A698西安交通大学,3,1515
06金融学(双学士学位、统计学和金融学),A272上海财经大学,5,1534
1E临床医学(侯宗濂班本博),A698西安交通大学,2,1590
08工科试验班(信息类),A247同济大学,36,1598
J1数学与应用数学(数学拔尖学生培养),A247同济大学,3,1601
G7国际经济与贸易(弘毅学堂数字贸易与金融试验班),A486武汉大学,2,1617
0U自动化类,A487华中科技大学,11,1621
QH数学类(含数学国家拔尖学生培养基地),A486武汉大学,6,1633
2A工科试验班(智能电气专业预选),A698西安交通大学,4,1634
QF理科试验班(理学与材料菁英班),A007北京理工大学,4,1635
44理科试验班(数理科学与大数据),A055南开大学,12,1636
2H理科试验班(卓越计划专业预选),A698西安交通大学,2,1644
2E工科试验班(越杰计划电类专业预选),A698西安交通大学,6,1663
09医学试验班,A247同济大学,3,1686
QV人文科学试验班(弘毅学堂),A486武汉大学,2,1711
5A工科试验班(海洋),A335浙江大学,13,1716
R1临床医学(5+3一体化),A486武汉大学,7,1718
0G电气工程及其自动化,A487华中科技大学,12,1735
QP计算机类(国家网络安全学院),A486武汉大学,13,1745
2B工科试验班(智能技术与自动化专业预选),A698西安交通大学,4,1747
A2电子信息类(成电英才计划拔尖创新人才实验班),A614电子科技大学,3,1766
01会计学,A272上海财经大学,3,1767
QT法学(含国际法试验班),A486武汉大学,10,1794
3G临床医学类,A487华中科技大学,14,1807
04工科试验班(建筑规划景观与设计类),A247同济大学,11,1808
Z2自然保护与环境生态类(含双学士学位项目),A248上海交通大学,40,1871
QB工科试验班(信息科学技术),A007北京理工大学,48,1879
QM生物科学类(含生物国家拔尖学生培养基地),A486武汉大学,6,1883
03经济管理试验班,A247同济大学,8,1888
0D经济学(双学士学位、经济学院和数学学院培养),A272上海财经大学,2,1893
D6口腔医学(五年制),A486武汉大学,2,1895
03法学(法学人才培养模式改革实验班),A053中国政法大学,14,1905
QB经济学类(含经济学国家拔尖学生培养基地),A486武汉大学,8,1921
QC工科试验班(智能化制造与先进材料类),A247同济大学,10,1938
2C工科试验班(智慧能源专业预选),A698西安交通大学,5,1944
0M电子信息类(电信学院),A487华中科技大学,15,1968
1R数学类,A027北京师范大学,13,1993
3U经济学类,A055南开大学,11,2004
B4物理学类(含物理学国家拔尖学生培养基地),A486武汉大学,9,2016
10理科试验班,A247同济大学,13,2036
02计算机类(元班),A013北京邮电大学,8,2044
08航空航天类(陈士橹飞天班),A699西北工业大学,2,2049
08口腔医学,A025首都医科大学,1,2066
33经济学(数理经济与数理金融),A034中央财经大学,3,2075
04法学(涉外法治人才培养实验班),A053中国政法大学,7,2092
A3计算机科学与技术(智能金融与区块链金融双A联合学位实验班),A614电子科技大学,2,2097
C2哲学类(含哲学国家拔尖学生培养基地),A486武汉大学,2,2098
02物理学类,A487华中科技大学,5,2113
07航空航天类(黄玉珊航空班),A699西北工业大学,2,2131
68临床医学(五年),A610四川大学,3,2134
QD工科试验班(电子信息实验班),A007北京理工大学,37,2155
10临床医学(广州),A558中山大学,20,2157
QR新闻传播学类(含卓越新闻传播人才教育培养计划),A486武汉大学,4,2162
44临床医学(本博连读，齐鲁医学堂),A422山东大学,30,2170
3T数学类,A487华中科技大学,2,2172
0C经济学,A272上海财经大学,2,2176
R5电子信息类(含卓越工程师教育培养计划),A486武汉大学,14,2177
92口腔医学(5+3一体化),A533中南大学,2,2196
Q6工科试验班(宇航与机电类),A007北京理工大学,22,2223
14经济学类,A034中央财经大学,4,2232
A1中国语言文学类(含中国语言文学国家拔尖学生培养基地),A486武汉大学,5,2238
78统计学(双学位),A269华东师范大学,2,2240
02财务管理(智能化方向),A272上海财经大学,3,2244
34金融学(国际金融与公司理财),A034中央财经大学,3,2246
Q8工科试验班(智能制造与智能车辆精英班),A007北京理工大学,8,2270
QA工科试验班(智能交通与车辆类),A247同济大学,18,2282
5B海洋科学,A335浙江大学,10,2309
01计算机类,P002国防科技大学,12,2312
2D工科试验班(智能制造专业预选),A698西安交通大学,4,2332
41工科试验班(智能装备),A213哈尔滨工业大学,15,2335
61金融学(双学位),A269华东师范大学,2,2338
33翻译(外交外事高级翻译),A030北京外国语大学,2,2340
2F工科试验班(越杰计划机类专业预选),A698西安交通大学,7,2350
9T理科试验班,A698西安交通大学,12,2356
8A临床医学(5+3一体化),A698西安交通大学,5,2382
05临床医学,A025首都医科大学,3,2430
R8遥感科学与技术,A486武汉大学,12,2472
10统计学类,A384厦门大学,2,2486
1N人文科学试验班,A027北京师范大学,28,2490
C8信息管理与信息系统,A486武汉大学,3,2497
QK化学类(含化学国家拔尖学生培养基地),A486武汉大学,7,2559
04机械类,A487华中科技大学,14,2571
1P历史学类,A027北京师范大学,3,2575
06工商管理类(会计学院),A034中央财经大学,7,2586
02社会科学试验班,A247同济大学,4,2595
0F财政学类,A272上海财经大学,4,2609
12电子信息类,A286东南大学,21,2610
Q9外国语言文学类,A486武汉大学,2,2625
B7计算机科学与技术(互联网交叉复合型精英人才双学位培养计划),A614电子科技大学,5,2626
14计算机类,A286东南大学,20,2641
01临床医学(本硕博连读),C121南方医科大学,3,2643
9L工科试验班(智能电气与信息类),A698西安交通大学,64,2692
3D会计学(ACCA),A698西安交通大学,2,2693
49工科试验班(信息科学与技术),A055南开大学,46,2698
3Y临床医学(5+3一体化),A055南开大学,8,2703
35财政学(财政理论与政策),A034中央财经大学,3,2707
05计算机类,A013北京邮电大学,14,2725
03航空航天类(本研衔接班),A699西北工业大学,3,2744
77统计学类,A269华东师范大学,2,2749
0A航空航天类,A487华中科技大学,4,2757
16信息工程(创新班),A561华南理工大学,1,2787
RA工科试验班(包含卓越工程师教育培养计划),A486武汉大学,22,2803
3Y经济学(经济学创新实验班),A487华中科技大学,2,2811
09工科试验班(计算机与电子通信),A213哈尔滨工业大学,28,2848
84软件工程,A269华东师范大学,6,2849
0K数学类(广州),A558中山大学,6,2865
07金融工程(量化金融实验班),A036对外经济贸易大学,4,2878
09理论与应用力学(航天力学拔尖班),P002国防科技大学,3,2889
5C应用生物科学(农学),A335浙江大学,25,2891
10统计学类,A034中央财经大学,4,2907
75心理学(双学位),A269华东师范大学,2,2917
05工科试验班(土木与环境类),A247同济大学,22,2919
29法学,A053中国政法大学,27,2951
3U社会科学试验班,A006北京航空航天大学,11,2959
C7理科试验班(空间信息与资源环境类),A486武汉大学,4,2964
0W建筑类,A286东南大学,7,2971
B2社会学(知行试验班),A486武汉大学,2,2976
0W计算机类(广州),A558中山大学,12,2990
QQ计算机类,A614电子科技大学,12,2996
0H生物医学工程类(国家生命科学与技术人才试验班),A487华中科技大学,7,2998
0X投资学(双学士学位、公管学院和数学学院培养),A272上海财经大学,3,3011
06能源动力类,A487华中科技大学,10,3023
18理科试验班,A286东南大学,6,3029
G3测绘类(含卓越工程师教育培养计划),A486武汉大学,10,3031
0A国际经济与贸易,A272上海财经大学,3,3034
1F临床医学(5+3一体化),A286东南大学,7,3052
B8数据科学与大数据技术(互联网交叉复合型精英人才双学位培养计划),A614电子科技大学,4,3060
QF公共管理类,A486武汉大学,2,3075
08精算学,A034中央财经大学,4,3093
08工科试验班(航天与自动化),A213哈尔滨工业大学,30,3102
04国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),A036对外经济贸易大学,3,3114
1S物理学类,A027北京师范大学,22,3125
B6物联网工程(互联网交叉复合型精英人才双学位培养计划),A614电子科技大学,3,3132
01人文科学试验班,A247同济大学,8,3151
05法学类,A384厦门大学,4,3167
41英语(中央财经大学金融学联合培养),A030北京外国语大学,2,3169
01教育学类,A027北京师范大学,7,3177
12会计学(含会计、财务、审计),A384厦门大学,7,3179
1Q社会科学试验班,A027北京师范大学,27,3180
40中国语言文学类,A055南开大学,6,3194
76数学与应用数学,A269华东师范大学,2,3219
44法学(双学位),A269华东师范大学,1,3227
49西班牙语,A030北京外国语大学,2,3243
46理科试验班类(物质科学与可持续发展),A055南开大学,24,3247
QK电子信息类(信息与通信),A614电子科技大学,16,3261
0G投资学,A272上海财经大学,3,3301
90生物科学类,A269华东师范大学,1,3308
04计算机类(本研衔接班),A699西北工业大学,3,3343
02电子信息类,P002国防科技大学,14,3351
17经济学类,A487华中科技大学,8,3355
02财政学类,A034中央财经大学,7,3376
03儿科学(5+3一体化),A025首都医科大学,2,3378
3P历史学类,A055南开大学,3,3394
34数学与应用数学(基地班),A610四川大学,2,3402
9N工科试验班(智慧能源与智能制造类),A698西安交通大学,50,3404
83计算机科学与技术,A269华东师范大学,4,3433
11数据科学与大数据技术,A384厦门大学,2,3436
21汉语言文学,A269华东师范大学,3,3448
3R公共管理类,A055南开大学,3,3453
28口腔医学(5+3一体化),A422山东大学,30,3463
12工科试验班(智能与计算类),A056天津大学,22,3521
34金融学类,A036对外经济贸易大学,19,3525
06软件工程,A013北京邮电大学,9,3527
10保险学(保险精算),A272上海财经大学,3,3528
0V电子信息类(广州),A558中山大学,20,3537
42工商管理类,A055南开大学,16,3545
43计算机类,A561华南理工大学,4,3551
43法学,A269华东师范大学,2,3552
QD工商管理类,A486武汉大学,8,3588
10英语(中国政法大学联合培养涉外法治人才),A030北京外国语大学,2,3590
42理科试验班类(生命科学),A019中国农业大学,2,3605
0N计算机科学与技术,A272上海财经大学,3,3612
15工商管理类,A487华中科技大学,5,3619
14电气工程及其自动化(卓越班),A561华南理工大学,2,3635
09经济学类,A384厦门大学,18,3661
17大数据管理与应用(许国志大数据英才班),A034中央财经大学,5,3662
31金融学类,A269华东师范大学,3,3674
10法学类,A036对外经济贸易大学,5,3675
47法语,A030北京外国语大学,2,3687
23历史学类,A610四川大学,1,3696
0Y工科试验班(碳中和与智能制造实验班),A286东南大学,46,3700
93地理信息科学,A269华东师范大学,1,3702
QM工科试验班(电子工程类),A614电子科技大学,18,3705
85数据科学与大数据技术,A269华东师范大学,4,3709
35数学与应用数学(数学经济学双学士学位),A610四川大学,2,3711
0A法学,A558中山大学,5,3715
0K通信工程(大类招生),A013北京邮电大学,22,3719
02经济学类,A036对外经济贸易大学,6,3758
B7临床医学类(临床及口腔五年制医学类),A533中南大学,16,3759
09英语,A030北京外国语大学,3,3761
1T理科试验班,A027北京师范大学,33,3777
37历史学,A269华东师范大学,2,3794
82微电子科学与工程,A269华东师范大学,2,3801
74心理学类,A269华东师范大学,2,3819
40政治学与行政学(双学位),A269华东师范大学,2,3845
01汉语言文学(广州),A558中山大学,5,3846
16管理科学与工程类(大数据管理与供应链优化试验班),A487华中科技大学,5,3852
11工科试验班(电气信息类),A056天津大学,30,3860
46软件工程,A561华南理工大学,4,3868
79物理学,A269华东师范大学,2,3886
07网络空间安全(大类招生),A013北京邮电大学,11,3894
38哲学,A269华东师范大学,2,3904
09工商管理类,A272上海财经大学,4,3911
36数学类,A610四川大学,2,3914
02法学(卓越民商法治人才实验班),A276华东政法大学,2,3919
9G文科试验班类,A698西安交通大学,2,3927
02新闻传播学类,A384厦门大学,2,3931
23英语,A269华东师范大学,1,3933
0P数据科学与大数据技术(工学),A272上海财经大学,4,3938
0Y金融学(经管国际化创新实验班),A651西南财经大学,1,3942
03建筑类,A056天津大学,8,3945
05材料类,A487华中科技大学,12,3946
Q9计算机类,A699西北工业大学,6,3951
50翻译(双学位),A269华东师范大学,1,3963
25翻译,A269华东师范大学,1,3974
44德语,A030北京外国语大学,2,4015
80电子信息科学与技术,A269华东师范大学,2,4024
89化学,A269华东师范大学,2,4029
18投资学,A034中央财经大学,6,4037
0D工商管理类(广州),A558中山大学,10,4042
1H公共管理类,A487华中科技大学,2,4059
QU电子信息类(光电集成与光网络),A614电子科技大学,11,4073
32工商管理类,A269华东师范大学,1,4077
02工程力学(力学拔尖基地班),A699西北工业大学,2,4081
12数学类,A272上海财经大学,5,4084
D6法语,A271上海外国语大学,2,4100
97通信工程(双学位),A269华东师范大学,2,4106
04电子信息类,A013北京邮电大学,11,4125
04自动化类,P002国防科技大学,13,4131
01中医学(屠呦呦班),A268上海中医药大学,4,4132
9Q工科试验班(经管类),A698西安交通大学,27,4136
26临床医学(5+3一体化),A422山东大学,100,4159
36新闻传播学类,A269华东师范大学,2,4161
06传播学(中外合作办学)(国际新闻传播方向),H002中国人民大学(苏州校区),1,4178
08人工智能(大类招生),A013北京邮电大学,18,4188
07工程力学(创新班),A561华南理工大学,1,4191
01人文科学试验班,A384厦门大学,3,4193
1A经济学类,A286东南大学,6,4196
03历史学(广州),A558中山大学,5,4223
2A网络空间安全,A558中山大学,10,4224
2C口腔医学(5+3一体化),A062天津医科大学,3,4227
19数学类(含物理类),A384厦门大学,10,4253
08生物科学类,A019中国农业大学,4,4260
0U文科试验班类,A286东南大学,4,4297
04法学(卓越经济法律人才实验班),A276华东政法大学,2,4324
24计算机类,A384厦门大学,18,4326
21计算机类(深圳),A558中山大学,18,4327
03航空航天类,P002国防科技大学,9,4334
33经济统计学,A036对外经济贸易大学,3,4344
01临床医学(5+3一体化),A312南京医科大学,3,4348
05材料类(本研衔接班),A699西北工业大学,2,4352
03口腔医学(5+3一体化),A312南京医科大学,2,4353
09工科试验班(精仪与光电信息类),A056天津大学,33,4371
2G医学影像学,A062天津医科大学,1,4382
87临床医学(5+3一体化),A183吉林大学,4,4387
36会计学,A561华南理工大学,1,4396
17信息工程,A561华南理工大学,5,4399
13工商管理类,A384厦门大学,4,4404
36工商管理类(商学院),A034中央财经大学,4,4405
01临床医学(高级临床医师),P020海军军医大学,6,4421
11数学类,A034中央财经大学,4,4447
32计算机类,A034中央财经大学,4,4480
2A临床医学(5+3一体化),A062天津医科大学,6,4483
32金融数学,A036对外经济贸易大学,4,4488
0P大数据管理与应用,A013北京邮电大学,2,4489
Q9法学,A610四川大学,3,4512
86信息管理与信息系统,A269华东师范大学,1,4530
27法语,A269华东师范大学,1,4538
05哲学类(广州),A558中山大学,5,4547
QS工科试验班(机器人、电气信息、智能制造),A614电子科技大学,20,4557
0B公共管理类,A558中山大学,5,4565
10航空航天类,A699西北工业大学,15,4566
1E物理学类(珠海),A558中山大学,15,4578
81通信工程,A269华东师范大学,2,4581
0J智能交互设计,A013北京邮电大学,2,4587
0M化学类,A558中山大学,10,4589
29口腔医学(五年制),A422山东大学,20,4597
02临床医学,P030空军军医大学,4,4611
0M自动化类(智能机器人与智慧物流),A013北京邮电大学,2,4612
33国际新闻与传播,A033中国传媒大学,3,4621
08外国语言文学类(广州),A558中山大学,5,4624
04外国语言文学类(外国语言文学加会计或财务),A384厦门大学,3,4626
33理科试验班(生命科学与医学类),A384厦门大学,10,4637
50计算机类,A610四川大学,11,4643
10数学类,A422山东大学,72,4646
S4集成电路设计与集成系统(国家示范性微电子学院),H614电子科技大学(沙河校区),13,4649
06临床医学,A159中国医科大学,2,4663
26电子信息类,A384厦门大学,12,4666
08政治学类,A384厦门大学,4,4673
22法学(卓越法治人才教育培养计划),A034中央财经大学,4,4680
62软件工程,A610四川大学,8,4681
32计算机类(网络安全),A699西北工业大学,7,4686
95环境科学与工程类,A269华东师范大学,1,4688
22数据科学与大数据技术(含与保险学专业双学士学位项目),A036对外经济贸易大学,4,4701
01药学(本博贯通强基拔尖实验班),A316中国药科大学,2,4710
9N法学,A183吉林大学,8,4737
0R理科试验班(信息科学),A013北京邮电大学,3,4763
63网络空间安全,A610四川大学,4,4771
46教育学类(师范类),A269华东师范大学,3,4781
10工科试验班(土木交通材料实验班),A286东南大学,30,4787
03汉语言文学,E596中国社会科学院大学,2,4790
23能源动力类,A384厦门大学,3,4803
43理科试验班(信息科学),A019中国农业大学,2,4825
24政治学与行政学,A053中国政法大学,3,4826
10金融学类,A610四川大学,5,4843
31临床医学(5+3一体化),A285苏州大学,3,4851
0A法学(卓越刑事法律人才实验班),A276华东政法大学,2,4852
S1软件工程(国家示范性软件学院),H614电子科技大学(沙河校区),15,4856
S3软件工程(工业软件),H614电子科技大学(沙河校区),5,4863
17化学类(含化学化工材料类),A384厦门大学,18,4893
C1临床医学,A384厦门大学,3,4898
22汉语国际教育,A269华东师范大学,3,4903
25精算学,A036对外经济贸易大学,4,4911
14电子信息类(创新班),A141大连理工大学,5,4915
34公共管理类,A269华东师范大学,1,4919
90临床医学(5+3一体化),A183吉林大学,4,4926
35人文地理与城乡规划,A269华东师范大学,2,4931
09法学,E596中国社会科学院大学,3,4935
19自动化类,A561华南理工大学,4,4955
06法学(沪港交流涉外卓越法律人才实验班),A276华东政法大学,2,4958
33工商管理(中法创新实验班),A269华东师范大学,2,4971
05外交学,A030北京外国语大学,3,4988
9J外国语言文学类,A698西安交通大学,2,4993
07临床医学(5+3一体化),A159中国医科大学,2,4997
37物理学类,A610四川大学,3,5001
29数学类,A561华南理工大学,3,5021
15电气类,A561华南理工大学,6,5040
42俄语,A030北京外国语大学,2,5047
24航空航天类,A558中山大学,15,5055
25化工与制药类,A561华南理工大学,1,5082
39新闻学(数据新闻方向),A033中国传媒大学,3,5088
95计算机科学与技术(国家基础学科拔尖学生培养计划基地班),A141大连理工大学,3,5097
07汉语言文学,A030北京外国语大学,2,5110
43电子信息类,A610四川大学,10,5117
14管理科学与工程类,A384厦门大学,2,5121
04建筑学,A561华南理工大学,2,5136
92临床医学(5+3一体化),A183吉林大学,4,5154
09工商管理类,A036对外经济贸易大学,11,5171
0G知识产权(卓越人才实验班),A276华东政法大学,2,5172
43机械设计制造及其自动化(创新班),A141大连理工大学,4,5180
05国际商务(数字贸易方向),A036对外经济贸易大学,4,5205
03计算机类,A004北京交通大学,8,5237
06经济学,E596中国社会科学院大学,2,5241
32物理学类,A561华南理工大学,2,5252
Q5电子信息类,A699西北工业大学,10,5284
16管理科学与工程类,A034中央财经大学,3,5293
95口腔医学,A183吉林大学,2,5329
0E心理学,A558中山大学,4,5344
30软件工程,A699西北工业大学,15,5356
YJ临床医学(五年制),A422山东大学,50,5369
01英语,A271上海外国语大学,2,5370
9B工科试验班(智能制造与建造),A056天津大学,33,5380
20计算机类,A019中国农业大学,3,5386
XQ计算机类(计算机与智能方向),A422山东大学,122,5389
0C法学(涉外卓越国际金融法律人才实验班),A276华东政法大学,3,5400
41生物科学类,A610四川大学,6,5413
4B日语,A030北京外国语大学,2,5417
03外国语言文学类,A384厦门大学,7,5425
02国际经济与贸易,A030北京外国语大学,2,5434
25经济学,A053中国政法大学,1,5454
66临床医学,A561华南理工大学,2,5456
B5计算机类(计算机与通信类),A533中南大学,23,5460
28建筑类,A384厦门大学,4,5463
27工科试验班,A384厦门大学,19,5484
B6航空航天类,A533中南大学,3,5489
04临床医学,A312南京医科大学,4,5518
9D化工与制药类(化工能源与生命医药试验班),A056天津大学,20,5548
22材料类,A561华南理工大学,3,5572
88临床医学,A183吉林大学,4,5574
31理科试验班(海洋生态环境类),A384厦门大学,11,5593
13机械类(航宇智能制造试验班),A699西北工业大学,6,5610
29日语,A269华东师范大学,1,5629
02工科试验班(智能装备与先进制造),A561华南理工大学,5,5638
08土木工程(卓越全英班),A561华南理工大学,1,5654
26新闻传播学类,A034中央财经大学,2,5670
41传播学(舆情分析方向),A033中国传媒大学,3,5672
23国际政治,A053中国政法大学,2,5678
Q7自动化类,A699西北工业大学,12,5681
16新闻传播学类,A610四川大学,4,5691
30药学,A384厦门大学,3,5696
29航空航天类(民用航空),A699西北工业大学,17,5715
26金融工程(成思危现代金融菁英班),A053中国政法大学,4,5728
06风景园林,A561华南理工大学,1,5743
2D临床医学,A062天津医科大学,3,5749
06柔性电子学(本研衔接班),A699西北工业大学,3,5768
01理科试验班类(詹天佑本博直升试点班),A004北京交通大学,10,5773
49电气类,A610四川大学,14,5788
13交通运输类,A561华南理工大学,2,5794
08国际经济与贸易,E596中国社会科学院大学,2,5805
BE软件工程,A533中南大学,10,5807
07工科试验班(高新舰船与海洋装备智能设计与管理),A056天津大学,15,5809
03金融学(中外合作办学),H002中国人民大学(苏州校区),7,5832
61经济学类,A561华南理工大学,4,5834
52工业设计,A561华南理工大学,2,5837
05经济管理试验班,A056天津大学,31,5849
54计算机科学与技术,A532湖南大学,3,5858
93临床医学,A183吉林大学,4,5864
2H眼视光医学,A062天津医科大学,1,5872
1G戏剧影视文学,A027北京师范大学,3,5873
08软件工程,A004北京交通大学,6,5879
11经济学类,A610四川大学,7,5908
51生物科学类,A561华南理工大学,2,5916
72医学技术类,A610四川大学,3,5929
15能源动力类(航空动力与新能源试验班),A699西北工业大学,10,5933
16医学试验班(新医科),A056天津大学,20,5935
25哲学,A610四川大学,2,5937
33临床医学,A285苏州大学,2,5944
